"New in Store", "New in Store"
"Special Offers", "Special Offers"
"New Product Count", "New Product Count"
"Special Offers Product Count", "Special Offers Product Count"
"Products Sliders", "Products Sliders"
"Sliders layout configuration", "Sliders layout configuration"
""Special Offers"" and ""Hits of Sales"" as Half of Width", ""Special Offers"" and ""Hits of Sales"" as Half of Width"
"Products Slider ""New Arrivals""", "Products Slider ""New Arrivals"""
"Products Slider ""Special Offers""", "Products Slider ""Special Offers"""
"Products Slider ""Hits of Sales""", "Products Slider ""Hits of Sales"""
"Slider Title", "Slider Title"
"HomePage", "HomePage"
"Enable", "Enable"
"Number of Products", "Products Count"
"Random", "Random"
"Hide Buttons", "Hide Buttons"
"Move", "Move"
"Pagination", "Pagination"
"Centered", "Centered"
"Maximum category depth", "Maximum category depth"
"Slider Categories Select", "Slider Categories Select"
"Show Mega Menu on Left of Slider", "Show Mega Menu on Left of Slider"
"Left SliderMenu root category select", "Left SliderMenu root category select"
"product shows, if product has ""Special Price"", or enabled attribute ""Special Offers"" on product price tab", "product shows, if product has ""Special Price"", or enabled attribute "Special Offers" on product price tab"
"Select by Attribute or Source Category", "Select by Attribute or Source Category"
"Attribute name - ""Hit of Sales"" in each product", "Attribute name - ""Hit of Sales"" in each product"
"by Attribute", "by Attribute"
"in Categories", "in Categories"
"by Attribute in Categories", "by Attribute in Categories"
"Product BreakPoints View Mini-Slider", "Product BreakPoints View Mini-Slider"
"Product BreakPoints View", "Product BreakPoints View"
"from sales reports", "from sales reports"
"set level depth of catalog category, save for update", "set level depth of catalog category, save for update"
"Banners Settings", "Banners Settings"
"Sliders Settings", "Sliders Settings"
"no margin, no padding in grid", "no margin, no padding in grid"
"Banners Slim Mode", "Banners Slim Mode"
"Hits Of Sales Products", "Hits Of Sales Products"
"Hits Of Sales", "Hits Of Sales"
"Regular only", "Regular only"
"Regular and Mobile(Pad)", "Regular and Mobile(Pad)"
"Regular and Mobile(Phone and Pad)", "Regular and Mobile(Phone and Pad)"
"Slideshow Settings", "Slideshow Settings"
"Mode", "Mode"
"Full Width Homepage", "Full Width Homepage"
