"Faq page","Помощь"
"Faq Categories","Категории вопросов"
"-- Without a category --","-- Без категории --"
"New","Новый"
"Approved","Одобрено"
"Canceled","Отменено"
"Faq Questions","Вопросы"
"Name","Имя"
"E-mail address","Е-мейл"
"Question","Вопрос"
"Send message","Отправить сообщение"
"Thank you for submitting your request.","Спасибо за ваш запрос."
"Faq page not found!","Страница помощи не найдена!"
"Need help?", "Нужна помощь?"
"Ask questions by any convenient way", "Задайте вопрос любым удобным для Вас способом"
"Show more", "Показать больше"
"Video answers", "Видео ответы"
"Answer for your questions","Ответы на ваши вопросы"
"Settings","Настройки"
"Show more limit","Кол-во вопросов перед ""Показать больше"""
"Ask your question", "Задайте свой вопрос"
